year,field_of_study,students,forecasted_students
2022,Engineering,202801,
2022,Fine and Applied Arts,51689,
2022,Health Professions,34856,
2022,Humanities,15783,
2022,Intensive English,10404,
2022,Legal Studies and Law Enforcement,16096,
2022,Math and Computer Science,240230,
2022,Other Fields of Study,87962,
2022,Physical and Life Sciences,84830,
2022,Social Sciences,85998,
2022,Undeclared,17910,
2023,Agriculture,,13864
2023,Business and Management,,156925
2023,Communications and Journalism,,22531
2023,Education,,16029
2023,Engineering,,206359
2023,Fine and Applied Arts,,51669
2023,Health Professions,,35612
2023,Humanities,,16123
2023,Intensive English,,8589
2023,Legal Studies and Law Enforcement,,17207
2023,Math and Computer Science,,249459
2023,Other Fields of Study,,93535
2023,Physical and Life Sciences,,85468
2023,Social Sciences,,86545
2023,Undeclared,,16973
2024,Agriculture,,13710
2024,Business and Management,,155894
2024,Communications and Journalism,,22291
2024,Education,,16171
2024,Engineering,,207716
2024,Fine and Applied Arts,,50333
2024,Health Professions,,35587
2024,Humanities,,15952
2024,Intensive English,,5980
2024,Legal Studies and Law Enforcement,,16094
2024,Math and Computer Science,,249252
2024,Other Fields of Study,,93924
2024,Physical and Life Sciences,,85179
2024,Social Sciences,,86620
2024,Undeclared,,16403
2025,Agriculture,,13545
2025,Business and Management,,154286
2025,Communications and Journalism,,21563
2025,Education,,16056
2025,Engineering,,206396
2025,Fine and Applied Arts,,49191
2025,Health Professions,,35467
2025,Humanities,,15714
2025,Intensive English,,6920
2025,Legal Studies and Law Enforcement,,16167
2025,Math and Computer Science,,256177
2025,Other Fields of Study,,92346
2025,Physical and Life Sciences,,85196
2025,Social Sciences,,86214
2025,Undeclared,,17103
2026,Agriculture,,13645
2026,Business and Management,,154069
2026,Communications and Journalism,,21511
2026,Education,,16039
2026,Engineering,,204743
2026,Fine and Applied Arts,,49074
2026,Health Professions,,34997
2026,Humanities,,15682
2026,Intensive English,,7559
2026,Legal Studies and Law Enforcement,,16505
2026,Math and Computer Science,,258305
2026,Other Fields of Study,,91284
2026,Physical and Life Sciences,,85681
2026,Social Sciences,,86544
2026,Undeclared,,17149
2027,Agriculture,,13860
2027,Business and Management,,154676
2027,Communications and Journalism,,21971
2027,Education,,15962
2027,Engineering,,205567
2027,Fine and Applied Arts,,49028
2027,Health Professions,,35087
2027,Humanities,,15771
2027,Intensive English,,6607
2027,Legal Studies and Law Enforcement,,16892
2027,Math and Computer Science,,262388
2027,Other Fields of Study,,91172
2027,Physical and Life Sciences,,86150
2027,Social Sciences,,87621
2027,Undeclared,,16875
2028,Agriculture,,13980
2028,Business and Management,,154700
2028,Communications and Journalism,,22115
2028,Education,,15977
2028,Engineering,,206137
2028,Fine and Applied Arts,,48855
2028,Health Professions,,35284
2028,Humanities,,15834
2028,Intensive English,,6283
2028,Legal Studies and Law Enforcement,,16664
2028,Math and Computer Science,,271858
2028,Other Fields of Study,,91366
2028,Physical and Life Sciences,,86237
2028,Social Sciences,,87841
2028,Undeclared,,16883
2029,Agriculture,,13948
2029,Business and Management,,154590
2029,Communications and Journalism,,22026
2029,Education,,15968
2029,Engineering,,206386
2029,Fine and Applied Arts,,48607
2029,Health Professions,,35296
2029,Humanities,,15823
2029,Intensive English,,6750
2029,Legal Studies and Law Enforcement,,16618
2029,Math and Computer Science,,275743
2029,Other Fields of Study,,91527
2029,Physical and Life Sciences,,86235
2029,Social Sciences,,87887
2029,Undeclared,,17015
2030,Agriculture,,13916
2030,Business and Management,,154486
2030,Communications and Journalism,,21875
2030,Education,,15993
2030,Engineering,,206507
2030,Fine and Applied Arts,,48474
2030,Health Professions,,35333
2030,Humanities,,15789
2030,Intensive English,,6723
2030,Legal Studies and Law Enforcement,,16635
2030,Math and Computer Science,,275873
2030,Other Fields of Study,,91568
2030,Physical and Life Sciences,,86277
2030,Social Sciences,,87937
2030,Undeclared,,16984
2031,Agriculture,,13945
2031,Business and Management,,154453
2031,Communications and Journalism,,21888
2031,Education,,15991
2031,Engineering,,206351
2031,Fine and Applied Arts,,48432
2031,Health Professions,,35289
2031,Humanities,,15776
2031,Intensive English,,6426
2031,Legal Studies and Law Enforcement,,16746
2031,Math and Computer Science,,278614
2031,Other Fields of Study,,91546
2031,Physical and Life Sciences,,86336
2031,Social Sciences,,88015
2031,Undeclared,,16934
2032,Agriculture,,14009
2032,Business and Management,,154482
2032,Communications and Journalism,,21987
2032,Education,,15999
2032,Engineering,,206348
2032,Fine and Applied Arts,,48395
2032,Health Professions,,35249
2032,Humanities,,15786
2032,Intensive English,,6477
2032,Legal Studies and Law Enforcement,,16710
2032,Math and Computer Science,,281064
2032,Other Fields of Study,,91523
2032,Physical and Life Sciences,,86376
2032,Social Sciences,,88181
2032,Undeclared,,16955
