year,field_of_study,major,students
2007/08,Social Sciences,Psychology,7981
2007/08,Social Sciences,Public Administration and Social Service Professions,5446
2007/08,Social Sciences,Social Sciences,27792
2007/08,Undeclared,Undeclared,19215
2008/09,Agriculture,Agriculture,6294
2008/09,Agriculture,Natural Resources and Conservation,2667
2008/09,Business and Management,Business and Management,137495
2008/09,Communications and Journalism,"Communication, Journalism",10885
2008/09,Communications and Journalism,Communications Technologies/Technicians,2081
2008/09,Education,Education,18120
2008/09,Engineering,Construction Trades,602
2008/09,Engineering,Engineering,111532
2008/09,Engineering,Engineering Technologies/Technicians,5228
2008/09,Engineering,Mechanic and Repair Technologies/Technicians,515
2008/09,Engineering,Military Technologies,358
2008/09,Engineering,Precision Production,56
2008/09,Engineering,Transportation and Materials Moving,1047
2008/09,Fine and Applied Arts,Architecture,7202
2008/09,Fine and Applied Arts,Visual and Performing Arts,27652
2008/09,Health Professions,Health Professions,35064
2008/09,Health Professions,Residency Programs,382
2008/09,Humanities,English Language and Literature/Letters,5745
2008/09,Humanities,"Foreign Languages, Literatures and Linguistics",6726
2008/09,Humanities,Philosophy and Religious Studies,3008
2008/09,Humanities,Theology and Religious Vocations,3700
2008/09,Intensive English,Intensive English,28524
2008/09,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1089
2008/09,Legal Studies and Law Enforcement,Legal Professions and Studies,8700
2008/09,Math and Computer Science,Computer and Information Sciences,43050
2008/09,Math and Computer Science,Mathematics and Statistics,13317
2008/09,Other Fields of Study,Basic Skills,
2008/09,Other Fields of Study,Family and Consumer Sciences/Human Sciences,2763
2008/09,Other Fields of Study,Liberal Arts and Sciences/General Studies,37681
2008/09,Other Fields of Study,Library Science,466
2008/09,Other Fields of Study,Multi/Interdisciplinary Studies,9695
2008/09,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3628
2008/09,Other Fields of Study,Personal and Culinary Services,1070
2008/09,Other Fields of Study,Reserve Officer Training Corps,
2008/09,Physical and Life Sciences,Biological and Biomedical Sciences,34144
2008/09,Physical and Life Sciences,Physical Sciences,26302
2008/09,Physical and Life Sciences,Science Technologies/Technicians,1253
2008/09,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2321
2008/09,Social Sciences,History,2546
2008/09,Social Sciences,Psychology,9269
2008/09,Social Sciences,Public Administration and Social Service Professions,6253
2008/09,Social Sciences,Social Sciences,32242
2008/09,Undeclared,Undeclared,20944
2009/10,Agriculture,Agriculture,6942
2009/10,Agriculture,Natural Resources and Conservation,3346
2009/10,Business and Management,Business and Management,144294
2009/10,Communications and Journalism,"Communication, Journalism",11695
2009/10,Communications and Journalism,Communications Technologies/Technicians,2717
2009/10,Education,Education,18301
2009/10,Engineering,Construction Trades,179
2009/10,Engineering,Engineering,117325
2009/10,Engineering,Engineering Technologies/Technicians,8026
2009/10,Engineering,Mechanic and Repair Technologies/Technicians,463
2009/10,Engineering,Military Technologies,1
2009/10,Engineering,Precision Production,38
2009/10,Engineering,Transportation and Materials Moving,1412
2009/10,Fine and Applied Arts,Architecture,7944
2009/10,Fine and Applied Arts,Visual and Performing Arts,27863
2009/10,Health Professions,Health Professions,32105
2009/10,Health Professions,Residency Programs,394
2009/10,Humanities,English Language and Literature/Letters,5952
2009/10,Humanities,"Foreign Languages, Literatures and Linguistics",6754
2009/10,Humanities,Philosophy and Religious Studies,2225
2009/10,Humanities,Theology and Religious Vocations,3062
2009/10,Intensive English,Intensive English,26059
2009/10,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1074
2009/10,Legal Studies and Law Enforcement,Legal Professions and Studies,8965
2009/10,Math and Computer Science,Computer and Information Sciences,45511
2009/10,Math and Computer Science,Mathematics and Statistics,15289
2009/10,Other Fields of Study,Basic Skills,
2009/10,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3570
2009/10,Other Fields of Study,Liberal Arts and Sciences/General Studies,38520
2009/10,Other Fields of Study,Library Science,553
2009/10,Other Fields of Study,Multi/Interdisciplinary Studies,10317
2009/10,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4051
2009/10,Other Fields of Study,Personal and Culinary Services,1107
2009/10,Other Fields of Study,Reserve Officer Training Corps,
2009/10,Physical and Life Sciences,Biological and Biomedical Sciences,33929
2009/10,Physical and Life Sciences,Physical Sciences,26547
2009/10,Physical and Life Sciences,Science Technologies/Technicians,835
2009/10,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2131
2009/10,Social Sciences,History,2424
2009/10,Social Sciences,Psychology,8992
2009/10,Social Sciences,Public Administration and Social Service Professions,6934
2009/10,Social Sciences,Social Sciences,34372
2009/10,Undeclared,Undeclared,18705
2010/11,Agriculture,Agriculture,6801
2010/11,Agriculture,Natural Resources and Conservation,3087
2010/11,Business and Management,Business and Management,154452
2010/11,Communications and Journalism,"Communication, Journalism",12225
2010/11,Communications and Journalism,Communications Technologies/Technicians,2537
2010/11,Education,Education,16933
2010/11,Engineering,Construction Trades,319
2010/11,Engineering,Engineering,126180
2010/11,Engineering,Engineering Technologies/Technicians,6640
2010/11,Engineering,Mechanic and Repair Technologies/Technicians,506
2010/11,Engineering,Military Technologies,24
2010/11,Engineering,Precision Production,43
2010/11,Engineering,Transportation and Materials Moving,1904
2010/11,Fine and Applied Arts,Architecture,8819
2010/11,Fine and Applied Arts,Visual and Performing Arts,28418
2010/11,Health Professions,Health Professions,32526
2010/11,Health Professions,Residency Programs,295
2010/11,Humanities,English Language and Literature/Letters,4969
2010/11,Humanities,"Foreign Languages, Literatures and Linguistics",6669
2010/11,Humanities,Philosophy and Religious Studies,2215
2010/11,Humanities,Theology and Religious Vocations,2410
2010/11,Intensive English,Intensive English,32306
2010/11,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1093
2010/11,Legal Studies and Law Enforcement,Legal Professions and Studies,9656
2010/11,Math and Computer Science,Computer and Information Sciences,46849
2010/11,Math and Computer Science,Mathematics and Statistics,17739
2010/11,Other Fields of Study,Basic Skills,
2010/11,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3676
2010/11,Other Fields of Study,Liberal Arts and Sciences/General Studies,36856
2010/11,Other Fields of Study,Library Science,431
2010/11,Other Fields of Study,Multi/Interdisciplinary Studies,9663
2010/11,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3909
2010/11,Other Fields of Study,Personal and Culinary Services,1317
2010/11,Other Fields of Study,Reserve Officer Training Corps,96
2010/11,Physical and Life Sciences,Biological and Biomedical Sciences,34784
2010/11,Physical and Life Sciences,Physical Sciences,27674
2010/11,Physical and Life Sciences,Science Technologies/Technicians,1013
2010/11,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2317
2010/11,Social Sciences,History,2289
2010/11,Social Sciences,Psychology,9569
2010/11,Social Sciences,Public Administration and Social Service Professions,6763
2010/11,Social Sciences,Social Sciences,37407
2010/11,Undeclared,Undeclared,19898
2011/12,Agriculture,Agriculture,6535
2011/12,Agriculture,Natural Resources and Conservation,3215
2011/12,Business and Management,Business and Management,164943
2011/12,Communications and Journalism,"Communication, Journalism",13169
2011/12,Communications and Journalism,Communications Technologies/Technicians,2538
2011/12,Education,Education,17200
2011/12,Engineering,Construction Trades,157
2011/12,Engineering,Engineering,132414
2011/12,Engineering,Engineering Technologies/Technicians,6504
2011/12,Engineering,Mechanic and Repair Technologies/Technicians,527
2011/12,Engineering,Military Technologies,28
2011/12,Engineering,Precision Production,40
2011/12,Engineering,Transportation and Materials Moving,1643
2011/12,Fine and Applied Arts,Architecture,9992
2011/12,Fine and Applied Arts,Visual and Performing Arts,31718
2011/12,Health Professions,Health Professions,29535
2011/12,Health Professions,Residency Programs,287
2011/12,Humanities,English Language and Literature/Letters,5018
2011/12,Humanities,"Foreign Languages, Literatures and Linguistics",6498
2011/12,Humanities,Philosophy and Religious Studies,2237
2011/12,Humanities,Theology and Religious Vocations,2541
2011/12,Intensive English,Intensive English,38887
2011/12,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1406
2011/12,Legal Studies and Law Enforcement,Legal Professions and Studies,9779
2011/12,Math and Computer Science,Computer and Information Sciences,51333
2011/12,Math and Computer Science,Mathematics and Statistics,20031
2011/12,Other Fields of Study,Basic Skills,
2011/12,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3452
2011/12,Other Fields of Study,Liberal Arts and Sciences/General Studies,36919
2011/12,Other Fields of Study,Library Science,378
2011/12,Other Fields of Study,Multi/Interdisciplinary Studies,10701
2011/12,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",3783
2011/12,Other Fields of Study,Personal and Culinary Services,1790
2011/12,Other Fields of Study,Reserve Officer Training Corps,1
2011/12,Physical and Life Sciences,Biological and Biomedical Sciences,35815
2011/12,Physical and Life Sciences,Physical Sciences,29281
2011/12,Physical and Life Sciences,Science Technologies/Technicians,911
2011/12,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2181
2011/12,Social Sciences,History,2177
2011/12,Social Sciences,Psychology,10239
2011/12,Social Sciences,Public Administration and Social Service Professions,7136
2011/12,Social Sciences,Social Sciences,39241
2011/12,Undeclared,Undeclared,22315
2012/13,Agriculture,Agriculture,7043
2012/13,Agriculture,Natural Resources and Conservation,3420
2012/13,Business and Management,Business and Management,177741
2012/13,Communications and Journalism,"Communication, Journalism",14938
2012/13,Communications and Journalism,Communications Technologies/Technicians,2559
2012/13,Education,Education,17011
2012/13,Engineering,Construction Trades,150
2012/13,Engineering,Engineering,144805
2012/13,Engineering,Engineering Technologies/Technicians,6553
2012/13,Engineering,Mechanic and Repair Technologies/Technicians,455
2012/13,Engineering,Military Technologies,53
2012/13,Engineering,Precision Production,62
2012/13,Engineering,Transportation and Materials Moving,2161
2012/13,Fine and Applied Arts,Architecture,10918
2012/13,Fine and Applied Arts,Visual and Performing Arts,34932
2012/13,Health Professions,Health Professions,31222
2012/13,Health Professions,Residency Programs,249
2012/13,Humanities,English Language and Literature/Letters,5196
2012/13,Humanities,"Foreign Languages, Literatures and Linguistics",6774
2012/13,Humanities,Philosophy and Religious Studies,2122
2012/13,Humanities,Theology and Religious Vocations,3029
2012/13,Intensive English,Intensive English,39990
2012/13,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1343
2012/13,Legal Studies and Law Enforcement,Legal Professions and Studies,9955
2012/13,Math and Computer Science,Computer and Information Sciences,53953
2012/13,Math and Computer Science,Mathematics and Statistics,23607
2012/13,Other Fields of Study,Basic Skills,1443
2012/13,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4116
2012/13,Other Fields of Study,Liberal Arts and Sciences/General Studies,35172
2012/13,Other Fields of Study,Library Science,393
2012/13,Other Fields of Study,Multi/Interdisciplinary Studies,10991
2012/13,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4145
2012/13,Other Fields of Study,Personal and Culinary Services,1243
2012/13,Other Fields of Study,Reserve Officer Training Corps,7
2012/13,Physical and Life Sciences,Biological and Biomedical Sciences,36780
2012/13,Physical and Life Sciences,Physical Sciences,31352
2012/13,Physical and Life Sciences,Science Technologies/Technicians,1020
2012/13,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2298
2012/13,Social Sciences,History,2313
2012/13,Social Sciences,Psychology,11271
2012/13,Social Sciences,Public Administration and Social Service Professions,7602
2012/13,Social Sciences,Social Sciences,44302
2012/13,Undeclared,Undeclared,24955
2013/14,Agriculture,Agriculture,7114
2013/14,Agriculture,Natural Resources and Conservation,3521
2013/14,Business and Management,Business and Management,188179
2013/14,Communications and Journalism,"Communication, Journalism",15851
2013/14,Communications and Journalism,Communications Technologies/Technicians,2827
2013/14,Education,Education,17879
2013/14,Engineering,Construction Trades,203
2013/14,Engineering,Engineering,160128
2013/14,Engineering,Engineering Technologies/Technicians,7310
2013/14,Engineering,Mechanic and Repair Technologies/Technicians,581
2013/14,Engineering,Military Technologies,10
2013/14,Engineering,Precision Production,54
2013/14,Engineering,Transportation and Materials Moving,1903
2013/14,Fine and Applied Arts,Architecture,12105
2013/14,Fine and Applied Arts,Visual and Performing Arts,39090
2013/14,Health Professions,Health Professions,31527
2013/14,Health Professions,Residency Programs,427
2013/14,Humanities,English Language and Literature/Letters,5446
2013/14,Humanities,"Foreign Languages, Literatures and Linguistics",7079
2013/14,Humanities,Philosophy and Religious Studies,2173
2013/14,Humanities,Theology and Religious Vocations,3232
2013/14,Intensive English,Intensive English,43456
2013/14,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",1830
2013/14,Legal Studies and Law Enforcement,Legal Professions and Studies,10872
2013/14,Math and Computer Science,Computer and Information Sciences,65291
2013/14,Math and Computer Science,Mathematics and Statistics,26143
2013/14,Other Fields of Study,Basic Skills,2092
2013/14,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4056
2013/14,Other Fields of Study,Liberal Arts and Sciences/General Studies,39137
2013/14,Other Fields of Study,Library Science,402
2013/14,Other Fields of Study,Multi/Interdisciplinary Studies,12197
2013/14,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4228
2013/14,Other Fields of Study,Personal and Culinary Services,1132
2013/14,Other Fields of Study,Reserve Officer Training Corps,13
2013/14,Physical and Life Sciences,Biological and Biomedical Sciences,37357
2013/14,Physical and Life Sciences,Physical Sciences,32187
2013/14,Physical and Life Sciences,Science Technologies/Technicians,935
2013/14,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2616
2013/14,Social Sciences,History,2445
2013/14,Social Sciences,Psychology,12060
2013/14,Social Sciences,Public Administration and Social Service Professions,8089
2013/14,Social Sciences,Social Sciences,47180
2013/14,Undeclared,Undeclared,25695
2014/15,Agriculture,Agriculture,8271
2014/15,Agriculture,Natural Resources and Conservation,4007
2014/15,Business and Management,Business and Management,197258
2014/15,Communications and Journalism,"Communication, Journalism",16964
2014/15,Communications and Journalism,Communications Technologies/Technicians,3197
2014/15,Education,Education,17675
2014/15,Engineering,Construction Trades,183
2014/15,Engineering,Engineering,184603
2014/15,Engineering,Engineering Technologies/Technicians,9149
2014/15,Engineering,Mechanic and Repair Technologies/Technicians,538
2014/15,Engineering,Military Technologies,16
2014/15,Engineering,Precision Production,69
2014/15,Engineering,Transportation and Materials Moving,2192
2014/15,Fine and Applied Arts,Architecture,13507
2014/15,Fine and Applied Arts,Visual and Performing Arts,43251
2014/15,Health Professions,Health Professions,33247
2014/15,Health Professions,Residency Programs,152
2014/15,Humanities,English Language and Literature/Letters,5340
2014/15,Humanities,"Foreign Languages, Literatures and Linguistics",7389
2014/15,Humanities,Philosophy and Religious Studies,2101
2014/15,Humanities,Theology and Religious Vocations,2674
2014/15,Intensive English,Intensive English,49233
2014/15,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2002
2014/15,Legal Studies and Law Enforcement,Legal Professions and Studies,11776
2014/15,Math and Computer Science,Computer and Information Sciences,83241
2014/15,Math and Computer Science,Mathematics and Statistics,29709
2014/15,Other Fields of Study,Basic Skills,2705
2014/15,Other Fields of Study,Family and Consumer Sciences/Human Sciences,4158
2014/15,Other Fields of Study,Liberal Arts and Sciences/General Studies,45762
2014/15,Other Fields of Study,Library Science,301
2014/15,Other Fields of Study,Multi/Interdisciplinary Studies,14912
2014/15,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",4252
2014/15,Other Fields of Study,Personal and Culinary Services,1078
2014/15,Other Fields of Study,Reserve Officer Training Corps,8
2014/15,Physical and Life Sciences,Biological and Biomedical Sciences,39294
2014/15,Physical and Life Sciences,Physical Sciences,33607
2014/15,Physical and Life Sciences,Science Technologies/Technicians,937
2014/15,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2504
2014/15,Social Sciences,History,2420
2014/15,Social Sciences,Psychology,12840
2014/15,Social Sciences,Public Administration and Social Service Professions,8816
2014/15,Social Sciences,Social Sciences,49371
2014/15,Undeclared,Undeclared,24217
2015/16,Agriculture,Agriculture,8043
2015/16,Agriculture,Natural Resources and Conservation,4275
2015/16,Business and Management,Business and Management,200312
2015/16,Communications and Journalism,"Communication, Journalism",18483
2015/16,Communications and Journalism,Communications Technologies/Technicians,2677
2015/16,Education,Education,19483
2015/16,Engineering,Construction Trades,255
2015/16,Engineering,Engineering,201145
2015/16,Engineering,Engineering Technologies/Technicians,12871
2015/16,Engineering,Mechanic and Repair Technologies/Technicians,671
2015/16,Engineering,Military Technologies,116
2015/16,Engineering,Precision Production,75
2015/16,Engineering,Transportation and Materials Moving,1799
2015/16,Fine and Applied Arts,Architecture,14131
2015/16,Fine and Applied Arts,Visual and Performing Arts,45605
2015/16,Health Professions,Health Professions,33646
2015/16,Health Professions,Residency Programs,301
2015/16,Humanities,English Language and Literature/Letters,5052
2015/16,Humanities,"Foreign Languages, Literatures and Linguistics",7298
2015/16,Humanities,Philosophy and Religious Studies,2170
2015/16,Humanities,Theology and Religious Vocations,3144
2015/16,Intensive English,Intensive English,40877
2015/16,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2368
2015/16,Legal Studies and Law Enforcement,Legal Professions and Studies,12709
2015/16,Math and Computer Science,Computer and Information Sciences,107682
2015/16,Math and Computer Science,Mathematics and Statistics,33969
2015/16,Other Fields of Study,Basic Skills,3101
2015/16,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3869
2015/16,Other Fields of Study,Liberal Arts and Sciences/General Studies,50360
2015/16,Other Fields of Study,Library Science,350
2015/16,Other Fields of Study,Multi/Interdisciplinary Studies,17795
2015/16,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5083
2015/16,Other Fields of Study,Personal and Culinary Services,737
2015/16,Other Fields of Study,Reserve Officer Training Corps,23
2015/16,Physical and Life Sciences,Biological and Biomedical Sciences,40184
2015/16,Physical and Life Sciences,Physical Sciences,33525
2015/16,Physical and Life Sciences,Science Technologies/Technicians,1676
2015/16,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2656
2015/16,Social Sciences,History,3150
2015/16,Social Sciences,Psychology,14189
2015/16,Social Sciences,Public Administration and Social Service Professions,8741
2015/16,Social Sciences,Social Sciences,52568
2015/16,Undeclared,Undeclared,26675
2016/17,Agriculture,Agriculture,7798
2016/17,Agriculture,Natural Resources and Conservation,4804
2016/17,Business and Management,Business and Management,200754
2016/17,Communications and Journalism,"Communication, Journalism",18622
2016/17,Communications and Journalism,Communications Technologies/Technicians,3291
2016/17,Education,Education,17993
2016/17,Engineering,Construction Trades,276
2016/17,Engineering,Engineering,212140
2016/17,Engineering,Engineering Technologies/Technicians,15309
2016/17,Engineering,Mechanic and Repair Technologies/Technicians,659
2016/17,Engineering,Military Technologies,267
2016/17,Engineering,Precision Production,85
2016/17,Engineering,Transportation and Materials Moving,1975
2016/17,Fine and Applied Arts,Architecture,15332
2016/17,Fine and Applied Arts,Visual and Performing Arts,46174
2016/17,Health Professions,Health Professions,34181
2016/17,Health Professions,Residency Programs,214
2016/17,Humanities,English Language and Literature/Letters,5105
2016/17,Humanities,"Foreign Languages, Literatures and Linguistics",7521
2016/17,Humanities,Philosophy and Religious Studies,2524
2016/17,Humanities,Theology and Religious Vocations,2411
2016/17,Intensive English,Intensive English,30309
2016/17,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2281
2016/17,Legal Studies and Law Enforcement,Legal Professions and Studies,13025
2016/17,Math and Computer Science,Computer and Information Sciences,127324
2016/17,Math and Computer Science,Mathematics and Statistics,39856
2016/17,Other Fields of Study,Basic Skills,2847
2016/17,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3763
2016/17,Other Fields of Study,Liberal Arts and Sciences/General Studies,54005
2016/17,Other Fields of Study,Library Science,320
2016/17,Other Fields of Study,Multi/Interdisciplinary Studies,20359
2016/17,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5299
2016/17,Other Fields of Study,Personal and Culinary Services,979
2016/17,Other Fields of Study,Reserve Officer Training Corps,5
2016/17,Physical and Life Sciences,Biological and Biomedical Sciences,41589
2016/17,Physical and Life Sciences,Physical Sciences,34484
2016/17,Physical and Life Sciences,Science Technologies/Technicians,765
2016/17,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2805
2016/17,Social Sciences,History,2572
2016/17,Social Sciences,Psychology,14912
2016/17,Social Sciences,Public Administration and Social Service Professions,8641
2016/17,Social Sciences,Social Sciences,54116
2016/17,Undeclared,Undeclared,21131
2017/18,Agriculture,Agriculture,7745
2017/18,Agriculture,Natural Resources and Conservation,4728
2017/18,Business and Management,Business and Management,196054
2017/18,Communications and Journalism,"Communication, Journalism",19804
2017/18,Communications and Journalism,Communications Technologies/Technicians,3020
2017/18,Education,Education,17615
2017/18,Engineering,Construction Trades,186
2017/18,Engineering,Engineering,215290
2017/18,Engineering,Engineering Technologies/Technicians,14010
2017/18,Engineering,Mechanic and Repair Technologies/Technicians,567
2017/18,Engineering,Military Technologies,73
2017/18,Engineering,Precision Production,88
2017/18,Engineering,Transportation and Materials Moving,2496
2017/18,Fine and Applied Arts,Architecture,15252
2017/18,Fine and Applied Arts,Visual and Performing Arts,48543
2017/18,Health Professions,Health Professions,34858
2017/18,Health Professions,Residency Programs,311
2017/18,Humanities,English Language and Literature/Letters,4994
2017/18,Humanities,"Foreign Languages, Literatures and Linguistics",7508
2017/18,Humanities,Philosophy and Religious Studies,2608
2017/18,Humanities,Theology and Religious Vocations,1930
2017/18,Intensive English,Intensive English,25845
2017/18,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2247
2017/18,Legal Studies and Law Enforcement,Legal Professions and Studies,14647
2017/18,Math and Computer Science,Computer and Information Sciences,144574
2017/18,Math and Computer Science,Mathematics and Statistics,41429
2017/18,Other Fields of Study,Basic Skills,3058
2017/18,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3793
2017/18,Other Fields of Study,Liberal Arts and Sciences/General Studies,52976
2017/18,Other Fields of Study,Library Science,282
2017/18,Other Fields of Study,Multi/Interdisciplinary Studies,22378
2017/18,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",5404
2017/18,Other Fields of Study,Personal and Culinary Services,822
2017/18,Other Fields of Study,Reserve Officer Training Corps,7
2017/18,Physical and Life Sciences,Biological and Biomedical Sciences,42996
2017/18,Physical and Life Sciences,Physical Sciences,35018
2017/18,Physical and Life Sciences,Science Technologies/Technicians,686
2017/18,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2827
2017/18,Social Sciences,History,2485
2017/18,Social Sciences,Psychology,15462
2017/18,Social Sciences,Public Administration and Social Service Professions,8368
2017/18,Social Sciences,Social Sciences,54566
2017/18,Undeclared,Undeclared,17242
2018/19,Agriculture,Agriculture,8538
2018/19,Agriculture,Natural Resources and Conservation,5216
2018/19,Business and Management,Business and Management,182170
2018/19,Communications and Journalism,"Communication, Journalism",19797
2018/19,Communications and Journalism,Communications Technologies/Technicians,4220
2018/19,Education,Education,16786
2018/19,Engineering,Construction Trades,313
2018/19,Engineering,Engineering,214331
2018/19,Engineering,Engineering Technologies/Technicians,13275
2018/19,Engineering,Mechanic and Repair Technologies/Technicians,605
2018/19,Engineering,Military Technologies,89
2018/19,Engineering,Precision Production,82
2018/19,Engineering,Transportation and Materials Moving,2085
2018/19,Fine and Applied Arts,Architecture,14690
2018/19,Fine and Applied Arts,Visual and Performing Arts,48407
2018/19,Health Professions,Health Professions,35269
2018/19,Health Professions,Residency Programs,177
2018/19,Humanities,English Language and Literature/Letters,4916
2018/19,Humanities,"Foreign Languages, Literatures and Linguistics",7357
2018/19,Humanities,Philosophy and Religious Studies,2673
2018/19,Humanities,Theology and Religious Vocations,2067
2018/19,Intensive English,Intensive English,22026
2018/19,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",2322
2018/19,Legal Studies and Law Enforcement,Legal Professions and Studies,14161
2018/19,Math and Computer Science,Computer and Information Sciences,156654
2018/19,Math and Computer Science,Mathematics and Statistics,46807
2018/19,Other Fields of Study,Basic Skills,2790
2018/19,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3951
2018/19,Other Fields of Study,Liberal Arts and Sciences/General Studies,51270
2018/19,Other Fields of Study,Library Science,307
2018/19,Other Fields of Study,Multi/Interdisciplinary Studies,21052
2018/19,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",6008
2018/19,Other Fields of Study,Personal and Culinary Services,671
2018/19,Other Fields of Study,Reserve Officer Training Corps,8
2018/19,Physical and Life Sciences,Biological and Biomedical Sciences,45338
2018/19,Physical and Life Sciences,Physical Sciences,35349
2018/19,Physical and Life Sciences,Science Technologies/Technicians,893
2018/19,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2697
2018/19,Social Sciences,History,2585
2018/19,Social Sciences,Psychology,16139
2018/19,Social Sciences,Public Administration and Social Service Professions,8248
2018/19,Social Sciences,Social Sciences,54651
2018/19,Undeclared,Undeclared,18309
2019/20,Agriculture,Agriculture,7857
2019/20,Agriculture,Natural Resources and Conservation,5277
2019/20,Business and Management,Business and Management,174470
2019/20,Communications and Journalism,"Communication, Journalism",20587
2019/20,Communications and Journalism,Communications Technologies/Technicians,3338
2019/20,Education,Education,15700
2019/20,Engineering,Construction Trades,147
2019/20,Engineering,Engineering,202697
2019/20,Engineering,Engineering Technologies/Technicians,14081
2019/20,Engineering,Mechanic and Repair Technologies/Technicians,587
2019/20,Engineering,Military Technologies,263
2019/20,Engineering,Precision Production,77
2019/20,Engineering,Transportation and Materials Moving,2690
2019/20,Fine and Applied Arts,Architecture,14959
2019/20,Fine and Applied Arts,Visual and Performing Arts,49542
2019/20,Health Professions,Health Professions,34711
